Title,Publication Date,URL,Type,Language,Categories,Cover Image,Publishers,Authors
"Head First SQL, 2nd Edition",2026-08-25,https://learning.oreilly.com/library/view/-/9781098163648/,book,en,Data,https://learning.oreilly.com/library/cover/9781098163648/,"[O'Reilly Media, Inc.]",[Kimberly Fessel]
Node.js Projects,2026-04-25,https://learning.oreilly.com/library/view/-/9781098173135/,book,en,Web & Mobile,https://learning.oreilly.com/library/cover/9781098173135/,"[O'Reilly Media, Inc.]",[Jon Wexler]
Microsoft Certified Azure Developer Associate (AZ-204) Study Guide,2026-03-25,https://learning.oreilly.com/library/view/-/9781098173487/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098173487/,"[O'Reilly Media, Inc.]",[Adora Nwodo]
Introducing C++,2026-03-25,https://learning.oreilly.com/library/view/-/9781098178130/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098178130/,"[O'Reilly Media, Inc.]",[Frances Buontempo]
Azure Fundamentals (AZ-900) Study Guide,2026-03-25,https://learning.oreilly.com/library/view/-/9781098167813/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098167813/,"[O'Reilly Media, Inc.]",[Jack Lee]
Microsoft Power BI Data Analyst Associate Study Guide,2026-02-25,https://learning.oreilly.com/library/view/-/9781098175276/,book,en,Data,https://learning.oreilly.com/library/cover/9781098175276/,"[O'Reilly Media, Inc.]",[Paul Turley]
Google Professional Cloud Architect Study Guide,2026-02-25,https://learning.oreilly.com/library/view/-/9781098154752/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098154752/,"[O'Reilly Media, Inc.]",[Patrick Haggerty]
Demystifying The Coding Interview,2026-02-25,https://learning.oreilly.com/library/view/-/9781098173647/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098173647/,"[O'Reilly Media, Inc.]",[Dave Kanter]
Privacy and Security for Large Language Models,2026-01-25,https://learning.oreilly.com/library/view/-/9781098160838/,book,en,Data,https://learning.oreilly.com/library/cover/9781098160838/,"[O'Reilly Media, Inc.]",[Baihan Lin]
Azure Data Fundamentals,2026-01-25,https://learning.oreilly.com/library/view/-/9781098164720/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098164720/,"[O'Reilly Media, Inc.]",[Michael John Pena]
"Introducing Python, 3rd Edition",2026-01-25,https://learning.oreilly.com/library/view/-/9781098174392/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098174392/,"[O'Reilly Media, Inc.]",[Bill Lubanovic]
UX Skills for Business Strategy,2026-01-17,https://learning.oreilly.com/library/view/-/9781098177867/,book,en,Business,https://learning.oreilly.com/library/cover/9781098177867/,"[O'Reilly Media, Inc.]",[Torrey Podmajersky Maya Elise Joseph-Goteiner Kim Mats Mats]
ML and Generative AI in the Data Lakehouse,2025-12-25,https://learning.oreilly.com/library/view/-/9781098178482/,book,en,Data,https://learning.oreilly.com/library/cover/9781098178482/,"[O'Reilly Media, Inc.]",[Bennie Haelen]
Learning Serverless Security,2025-12-25,https://learning.oreilly.com/library/view/-/9781098149000/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098149000/,"[O'Reilly Media, Inc.]",[Joshua Arvin Lat]
"Designing Data-Intensive Applications, 2nd Edition",2025-12-25,https://learning.oreilly.com/library/view/-/9781098119058/,book,en,Data,https://learning.oreilly.com/library/cover/9781098119058/,"[O'Reilly Media, Inc.]",[Martin Kleppmann Chris Riccomini]
Certificate of Cloud Security Knowledge (CCSK v5) Official Study Guide,2025-12-25,https://learning.oreilly.com/library/view/-/9781098173401/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098173401/,"[O'Reilly Media, Inc.]",[Graham Thompson]
Certified Cloud Security Professional (CCSP) Study Guide,2025-12-25,https://learning.oreilly.com/library/view/-/9781098179410/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098179410/,"[O'Reilly Media, Inc.]",[Ric Messier]
"International Financial Management: An Analytical Framework, 2nd Edition by Pearson",2025-12-12,https://learning.oreilly.com/library/view/-/9789332578869/,book,en,Business,https://learning.oreilly.com/library/cover/9789332578869/,[Pearson India],[Thummuluri Siddaiah]
Building Resilient Distributed Systems,2025-11-25,https://learning.oreilly.com/library/view/-/9781098163532/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098163532/,"[O'Reilly Media, Inc.]",[Sam Newman]
"Building Micro-Frontends, 2nd Edition",2025-11-25,https://learning.oreilly.com/library/view/-/9781098170776/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098170776/,"[O'Reilly Media, Inc.]",[Luca Mezzalira]
"Mastering Ethereum, 2nd Edition",2025-11-25,https://learning.oreilly.com/library/view/-/9781098168414/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098168414/,"[O'Reilly Media, Inc.]",[Carlo Parisi Alessandro Mazza Niccolo Pozzolini]
Applied AI for Enterprise Java Development,2025-11-25,https://learning.oreilly.com/library/view/-/9781098174491/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098174491/,"[O'Reilly Media, Inc.]",[Alex Soto Bueno Markus Eisele Natale Vinto]
The Product-Minded Engineer,2025-11-25,https://learning.oreilly.com/library/view/-/9781098173722/,book,en,Design,https://learning.oreilly.com/library/cover/9781098173722/,"[O'Reilly Media, Inc.]",[Drew Hoskins]
Building Data Integration Solutions,2025-11-25,https://learning.oreilly.com/library/view/-/9781098173050/,book,en,Data,https://learning.oreilly.com/library/cover/9781098173050/,"[O'Reilly Media, Inc.]",[Jay Borthen]
Building Applications with AI Agents,2025-10-25,https://learning.oreilly.com/library/view/-/9781098176495/,book,en,Data,https://learning.oreilly.com/library/cover/9781098176495/,"[O'Reilly Media, Inc.]",[Michael Albada]
Sustainable AI,2025-10-25,https://learning.oreilly.com/library/view/-/9781098155506/,book,en,Data,https://learning.oreilly.com/library/cover/9781098155506/,"[O'Reilly Media, Inc.]",[Raghavendra Selvan]
Apache Hudi: The Definitive Guide,2025-10-25,https://learning.oreilly.com/library/view/-/9781098173821/,book,en,Data,https://learning.oreilly.com/library/cover/9781098173821/,"[O'Reilly Media, Inc.]",[Shiyan Xu Prashant Wason Bhavani Sudha Saktheeswaran Rebecca Bilbro]
Fundamentals of Software Engineering,2025-10-25,https://learning.oreilly.com/library/view/-/9781098143220/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098143220/,"[O'Reilly Media, Inc.]",[Nathaniel Schutta Dan Vega]
Securing Cloud Native Applications with eBPF,2025-10-25,https://learning.oreilly.com/library/view/-/9781098157401/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098157401/,"[O'Reilly Media, Inc.]",[Jed Salazar Natalia Reka Ivanko]
"Learning React, 3rd Edition",2025-10-25,https://learning.oreilly.com/library/view/-/9781098175931/,book,en,Web & Mobile,https://learning.oreilly.com/library/cover/9781098175931/,"[O'Reilly Media, Inc.]",[Alex Banks Eve Porcello]
Fundamentals of Metadata Management,2025-10-25,https://learning.oreilly.com/library/view/-/9781098162818/,book,en,Data,https://learning.oreilly.com/library/cover/9781098162818/,"[O'Reilly Media, Inc.]",[Ole Olesen-Bagneux]
Salesforce Certified Administrator Study Guide,2025-09-25,https://learning.oreilly.com/library/view/-/9781098165734/,book,en,Business,https://learning.oreilly.com/library/cover/9781098165734/,"[O'Reilly Media, Inc.]",[Mike Wheeler]
Modern Concurrency in Java,2025-09-25,https://learning.oreilly.com/library/view/-/9781098165406/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098165406/,"[O'Reilly Media, Inc.]",[A N M Bazlur Rahman]
AI-Native Software Delivery,2025-09-25,https://learning.oreilly.com/library/view/-/9781098171988/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098171988/,"[O'Reilly Media, Inc.]",[Nick Durkin Eric Minick]
Building Machine Learning Systems with a Feature Store,2025-09-25,https://learning.oreilly.com/library/view/-/9781098165222/,book,en,Data,https://learning.oreilly.com/library/cover/9781098165222/,"[O'Reilly Media, Inc.]",[Jim Dowling]
Advanced Snowflake,2025-09-25,https://learning.oreilly.com/library/view/-/9781098170202/,book,en,Data,https://learning.oreilly.com/library/cover/9781098170202/,"[O'Reilly Media, Inc.]",[Muhammad Fasih Ullah]
Responsible Software Engineering,2025-09-25,https://learning.oreilly.com/library/view/-/9781098149154/,book,en,"Math, Science, Engineering",https://learning.oreilly.com/library/cover/9781098149154/,"[O'Reilly Media, Inc.]",[Daniel J. Barrett]
Azure AI Engineer Associate (AI-102) Study Guide,2025-09-25,https://learning.oreilly.com/library/view/-/9781098169251/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098169251/,"[O'Reilly Media, Inc.]",[Renaldi Gondosubroto]
"High Performance Spark, 2nd Edition",2025-09-25,https://learning.oreilly.com/library/view/-/9781098145842/,book,en,Data,https://learning.oreilly.com/library/cover/9781098145842/,"[O'Reilly Media, Inc.]",[Holden Karau Adi Polak Rachel Warren]
Scaling Graph Learning for the Enterprise,2025-08-25,https://learning.oreilly.com/library/view/-/9781098146054/,book,en,Data,https://learning.oreilly.com/library/cover/9781098146054/,"[O'Reilly Media, Inc.]",[Ahmed Menshawy Sameh Mohamed Maraim Rizk Masoud]
The AI Engineer's Guide to Surviving the EU AI Act,2025-08-25,https://learning.oreilly.com/library/view/-/9781098172480/,book,en,Data,https://learning.oreilly.com/library/cover/9781098172480/,"[O'Reilly Media, Inc.]",[Larysa Visengeriyeva]
Data Contracts,2025-08-25,https://learning.oreilly.com/library/view/-/9781098157623/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098157623/,"[O'Reilly Media, Inc.]",[Chad Sanderson Mark Freeman]
"Strategic Writing for UX, 2nd Edition",2025-08-25,https://learning.oreilly.com/library/view/-/9781098174323/,book,en,Design,https://learning.oreilly.com/library/cover/9781098174323/,"[O'Reilly Media, Inc.]",[Torrey Podmajersky]
Learning GitHub Copilot,2025-08-25,https://learning.oreilly.com/library/view/-/9781098164645/,book,en,Data,https://learning.oreilly.com/library/cover/9781098164645/,"[O'Reilly Media, Inc.]",[Brent Laster]
Learning System Design,2025-08-25,https://learning.oreilly.com/library/view/-/9781098157876/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098157876/,"[O'Reilly Media, Inc.]",[Rohit Bhardwaj]
Learning API Styles,2025-08-25,https://learning.oreilly.com/library/view/-/9781098153984/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098153984/,"[O'Reilly Media, Inc.]",[Lukasz Dynowski Marcin Dulak]
Logical Data Management,2025-08-25,https://learning.oreilly.com/library/view/-/9781098176068/,book,en,Data,https://learning.oreilly.com/library/cover/9781098176068/,"[O'Reilly Media, Inc.]",[Christopher Gardner]
AWS Certified Data Engineer Associate Study Guide,2025-08-25,https://learning.oreilly.com/library/view/-/9781098170066/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098170066/,"[O'Reilly Media, Inc.]",[Sakti Mishra Dylan Qu Anusha Challa]
Red Hat Certified Engineer (RHCE) Ansible Automation Study Guide,2025-07-25,https://learning.oreilly.com/library/view/-/9781098162122/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098162122/,"[O'Reilly Media, Inc.]",[Alex Soto Bueno Andrew Block]
Generative AI for Software Development,2025-07-25,https://learning.oreilly.com/library/view/-/9781098162269/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098162269/,"[O'Reilly Media, Inc.]",[Sergio Pereira]
Fundamentals of Microsoft Fabric,2025-07-25,https://learning.oreilly.com/library/view/-/9781098172916/,book,en,Data,https://learning.oreilly.com/library/cover/9781098172916/,"[O'Reilly Media, Inc.]",[Nikola Ilic Ben Weissman]
LangChain for Life Science,2025-07-25,https://learning.oreilly.com/library/view/-/9781098162627/,book,en,"Math, Science, Engineering",https://learning.oreilly.com/library/cover/9781098162627/,"[O'Reilly Media, Inc.]",[Ivan Reznikov]
Neo4j: The Definitive Guide,2025-07-25,https://learning.oreilly.com/library/view/-/9781098165642/,book,en,Data,https://learning.oreilly.com/library/cover/9781098165642/,"[O'Reilly Media, Inc.]",[Christophe Willemsen Luanne Misquitta]
"Test-Driven Development with Python, 3rd Edition",2025-07-25,https://learning.oreilly.com/library/view/-/9781098148706/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098148706/,"[O'Reilly Media, Inc.]",[Harry Percival]
Certified Ethical Hacker (CEH) Study Guide,2025-07-25,https://learning.oreilly.com/library/view/-/9781098174767/,book,en,Security,https://learning.oreilly.com/library/cover/9781098174767/,"[O'Reilly Media, Inc.]",[Matt Walker]
Cloud Native Geospatial Analytics with Apache Sedona,2025-06-25,https://learning.oreilly.com/library/view/-/9781098173982/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098173982/,"[O'Reilly Media, Inc.]",[William Lyon Jia Yu Mo Sarwat]
"Java Generics and Collections, 2nd Edition",2025-06-25,https://learning.oreilly.com/library/view/-/9781098136710/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098136710/,"[O'Reilly Media, Inc.]",[Maurice Naftalin Philip Wadler]
Deep Learning for Biology,2025-06-25,https://learning.oreilly.com/library/view/-/9781098168025/,book,en,"Math, Science, Engineering",https://learning.oreilly.com/library/cover/9781098168025/,"[O'Reilly Media, Inc.]",[Charles Ravarani Natasha Latysheva]
Microsoft Power Automate Cookbook,2025-06-25,https://learning.oreilly.com/library/view/-/9781098142759/,book,en,Data,https://learning.oreilly.com/library/cover/9781098142759/,"[O'Reilly Media, Inc.]",[Ahmad Najjar]
Dataproc Cookbook,2025-06-25,https://learning.oreilly.com/library/view/-/9781098157692/,book,en,Data,https://learning.oreilly.com/library/cover/9781098157692/,"[O'Reilly Media, Inc.]",[Narasimha Sadineni Anuyogam Venkataraman]
Building Integrations with MuleSoft,2025-06-25,https://learning.oreilly.com/library/view/-/9781098158286/,book,en,Data,https://learning.oreilly.com/library/cover/9781098158286/,"[O'Reilly Media, Inc.]",[Pooja Kamath Diane Kesler]
Azure DevOps Explained - Second Edition,2025-05-30,https://learning.oreilly.com/library/view/-/9781803238937/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781803238937/,[Packt Publishing],[Stefano Demiliani Nemanja Jovic Amit Malik]
Attack Surface Management,2025-05-25,https://learning.oreilly.com/library/view/-/9781098165079/,book,en,Security,https://learning.oreilly.com/library/cover/9781098165079/,"[O'Reilly Media, Inc.]",[Ron Eddings MJ Kaufmann]
Hands-On AWS CDK,2025-05-25,https://learning.oreilly.com/library/view/-/9781098158767/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098158767/,"[O'Reilly Media, Inc.]",[Sam Ward Biddle Kyle T. Jones]
Tableau Certified Data Analyst Study Guide,2025-05-25,https://learning.oreilly.com/library/view/-/9781098175061/,book,en,Data,https://learning.oreilly.com/library/cover/9781098175061/,"[O'Reilly Media, Inc.]",[Christopher Gardner]
"Learning Python, 6th Edition",2025-05-25,https://learning.oreilly.com/library/view/-/9781098171292/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098171292/,"[O'Reilly Media, Inc.]",[Mark Lutz]
"High Performance Python, 3rd Edition",2025-05-25,https://learning.oreilly.com/library/view/-/9781098165956/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098165956/,"[O'Reilly Media, Inc.]",[Micha Gorelick Ian Oszvald]
Argo CD: Up and Running,2025-05-25,https://learning.oreilly.com/library/view/-/9781098141998/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098141998/,"[O'Reilly Media, Inc.]",[Andrew Block Christian Hernandez]
The AI-Enabled SDLC,2025-05-25,https://learning.oreilly.com/library/view/-/9781098176129/,book,en,Data,https://learning.oreilly.com/library/cover/9781098176129/,"[O'Reilly Media, Inc.]",[Brent Laster Eran Yahav]
Building Medallion Architectures,2025-05-25,https://learning.oreilly.com/library/view/-/9781098178826/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098178826/,"[O'Reilly Media, Inc.]",[Piethein Strengholt]
Fundamentals of DevOps and Software Delivery,2025-05-25,https://learning.oreilly.com/library/view/-/9781098174583/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098174583/,"[O'Reilly Media, Inc.]",[Yevgeniy Brikman]
Cloud Application Architecture Patterns,2025-05-25,https://learning.oreilly.com/library/view/-/9781098116897/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098116897/,"[O'Reilly Media, Inc.]",[Kyle Brown Bobby Woolf Joe Yoder]
Rust from Beginner to Professional,2025-05-23,https://learning.oreilly.com/library/view/-/9781836208877/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781836208877/,[Packt Publishing],[Francesco Ciulla]
"Time Series Analysis with Python Cookbook, 2E - Second Edition",2025-04-30,https://learning.oreilly.com/library/view/-/9781805124283/,book,en,Data,https://learning.oreilly.com/library/cover/9781805124283/,[Packt Publishing],[Tarek A. Atwan]
"Think Stats, 3rd Edition",2025-04-25,https://learning.oreilly.com/library/view/-/9781098190248/,book,en,Data,https://learning.oreilly.com/library/cover/9781098190248/,"[O'Reilly Media, Inc.]",[Allen Downey]
Building Generative AI Services with FastAPI,2025-04-25,https://learning.oreilly.com/library/view/-/9781098160296/,book,en,Web & Mobile,https://learning.oreilly.com/library/cover/9781098160296/,"[O'Reilly Media, Inc.]",[Ali Parandeh]
Unlock Data Agility with Composable Data Architecture,2025-04-25,https://learning.oreilly.com/library/view/-/9781098178956/,book,en,Data,https://learning.oreilly.com/library/cover/9781098178956/,"[O'Reilly Media, Inc.]",[Adam Morton]
Data Engineering Design Patterns,2025-04-25,https://learning.oreilly.com/library/view/-/9781098165826/,book,en,Data,https://learning.oreilly.com/library/cover/9781098165826/,"[O'Reilly Media, Inc.]",[Bartosz Konieczny]
"Fundamentals of Software Architecture, 2nd Edition",2025-04-25,https://learning.oreilly.com/library/view/-/9781098175504/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098175504/,"[O'Reilly Media, Inc.]",[Mark Richards Neal Ford]
The LLM Mesh,2025-04-25,https://learning.oreilly.com/library/view/-/9781098176631/,book,en,Data,https://learning.oreilly.com/library/cover/9781098176631/,"[O'Reilly Media, Inc.]",[Kurt Muehmel]
Digital Forensics and Incident Response - Fourth Edition,2025-03-28,https://learning.oreilly.com/library/view/-/9781836200116/,book,en,Security,https://learning.oreilly.com/library/cover/9781836200116/,[Packt Publishing],[Gerard Johansen]
Site-to-Site Connectivity with ngrok,2025-03-25,https://learning.oreilly.com/library/view/-/9781098169770/,book,en,Security,https://learning.oreilly.com/library/cover/9781098169770/,"[O'Reilly Media, Inc.]",[Mandy Hubbard Shubhashish Argha]
Identity Security for Software Development,2025-03-25,https://learning.oreilly.com/library/view/-/9781098158026/,book,en,Security,https://learning.oreilly.com/library/cover/9781098158026/,"[O'Reilly Media, Inc.]",[John Walsh Uzi Ailon]
Hands-On APIs for AI and Data Science,2025-03-25,https://learning.oreilly.com/library/view/-/9781098164409/,book,en,Data,https://learning.oreilly.com/library/cover/9781098164409/,"[O'Reilly Media, Inc.]",[Ryan Day]
Cloud Native Data Security with OAuth,2025-03-25,https://learning.oreilly.com/library/view/-/9781098164874/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098164874/,"[O'Reilly Media, Inc.]",[Gary Archer Judith Kahrer Michał Trojanowski]
Designing Large Language Model Applications,2025-03-25,https://learning.oreilly.com/library/view/-/9781098150495/,book,en,Data,https://learning.oreilly.com/library/cover/9781098150495/,"[O'Reilly Media, Inc.]",[Suhas Pai]
"Infrastructure as Code, 3rd Edition",2025-03-25,https://learning.oreilly.com/library/view/-/9781098150341/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098150341/,"[O'Reilly Media, Inc.]",[Kief Morris]
"CockroachDB: The Definitive Guide, 2nd Edition",2025-03-19,https://learning.oreilly.com/library/view/-/9781098179830/,book,en,Data,https://learning.oreilly.com/library/cover/9781098179830/,"[O'Reilly Media, Inc.]",[Guy Harrison Jesse Seldess Ben Darnell Rob Reid]
Engineering AI Systems: Architecture and DevOps Essentials,2025-03-03,https://learning.oreilly.com/library/view/-/9780138261542/,book,en,"Math, Science, Engineering",https://learning.oreilly.com/library/cover/9780138261542/,[Addison-Wesley Professional],[Len Bass Qinghua Lu Ingo Weber Liming Zhu]
Practical Generative AI with ChatGPT - Second Edition,2025-02-28,https://learning.oreilly.com/library/view/-/9781836647850/,book,en,Data,https://learning.oreilly.com/library/cover/9781836647850/,[Packt Publishing],[Valentina Alto]
Retrieval Augmented Generation in Production with Haystack,2025-02-25,https://learning.oreilly.com/library/view/-/9781098165161/,book,en,Data,https://learning.oreilly.com/library/cover/9781098165161/,"[O'Reilly Media, Inc.]",[Skanda Vivek]
Python Polars: The Definitive Guide,2025-02-25,https://learning.oreilly.com/library/view/-/9781098156077/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098156077/,"[O'Reilly Media, Inc.]",[Jeroen Janssens Thijs Nieuwdorp]
Building AI-Powered Products,2025-02-25,https://learning.oreilly.com/library/view/-/9781098152697/,book,en,Data,https://learning.oreilly.com/library/cover/9781098152697/,"[O'Reilly Media, Inc.]",[Marily Nika]
"The Art of Mac Malware, Volume 2",2025-02-25,https://learning.oreilly.com/library/view/-/9798341620056/,book,en,Security,https://learning.oreilly.com/library/cover/9798341620056/,[No Starch Press],[Patrick Wardle]
System Design on AWS,2025-02-25,https://learning.oreilly.com/library/view/-/9781098146887/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9781098146887/,"[O'Reilly Media, Inc.]",[Jayanth Kumar Mandeep Singh]
Learning LangChain,2025-02-25,https://learning.oreilly.com/library/view/-/9781098167271/,book,en,Data,https://learning.oreilly.com/library/cover/9781098167271/,"[O'Reilly Media, Inc.]",[Mayo Oshin Nuno Campos]
Databricks Certified Data Engineer Associate Study Guide,2025-02-25,https://learning.oreilly.com/library/view/-/9781098166823/,book,en,Data,https://learning.oreilly.com/library/cover/9781098166823/,"[O'Reilly Media, Inc.]",[Derar Alhussein]
3D Data Science with Python,2025-02-25,https://learning.oreilly.com/library/view/-/9781098161323/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098161323/,"[O'Reilly Media, Inc.]",[Florent Poux]
"The Art of ARM Assembly, Volume 1",2025-02-25,https://learning.oreilly.com/library/view/-/9798341620018/,book,en,Software Development,https://learning.oreilly.com/library/cover/9798341620018/,[No Starch Press],[Randall Hyde]
Demystifying Time Series Forecasting for the Enterprise,2025-02-25,https://learning.oreilly.com/library/view/-/9781098174682/,book,en,Data,https://learning.oreilly.com/library/cover/9781098174682/,"[O'Reilly Media, Inc.]",[Abdullah Karasan]
"Java Cookbook, 5th Edition",2025-02-13,https://learning.oreilly.com/library/view/-/9781098169961/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098169961/,"[O'Reilly Media, Inc.]",[Ian F. Darwin]
Practical Threat Intelligence and Data-Driven Threat Hunting - Second Edition,2025-01-30,https://learning.oreilly.com/library/view/-/9781803233758/,book,en,Security,https://learning.oreilly.com/library/cover/9781803233758/,[Packt Publishing],[Valentina Costa-Gazcón]
Introduction to Computer Organization: ARM Edition,2025-01-28,https://learning.oreilly.com/library/view/-/9798341620025/,book,en,Hardware,https://learning.oreilly.com/library/cover/9798341620025/,[No Starch Press],[Robert G. Plantz]
"Metasploit, 2nd Edition",2025-01-28,https://learning.oreilly.com/library/view/-/9798341620032/,book,en,Security,https://learning.oreilly.com/library/cover/9798341620032/,[No Starch Press],[David Kennedy Mati Aharoni Devon Kearns Jim O'Gorman]
Data Structures and Algorithms in JavaScript,2025-01-28,https://learning.oreilly.com/library/view/-/9798341620001/,book,en,Web & Mobile,https://learning.oreilly.com/library/cover/9798341620001/,[No Starch Press],[Federico Kereki]
Time Series with PyTorch,2025-01-24,https://learning.oreilly.com/library/view/-/9781805128182/,book,en,Data,https://learning.oreilly.com/library/cover/9781805128182/,[Packt Publishing],[Graeme Davidson Lei Ma]
Cisco Certified Support Technician (CCST) IT Support - 100-140 Official Cert Guide,2025-01-24,https://learning.oreilly.com/library/view/-/9780135404089/,book,en,IT Operations,https://learning.oreilly.com/library/cover/9780135404089/,[Cisco Press],[Mark Smith David Bayne John Pickard]
Kotlin from Scratch,2025-01-24,https://learning.oreilly.com/library/view/-/9781098182526/,book,en,Software Development,https://learning.oreilly.com/library/cover/9781098182526/,[No Starch Press],[Faisal Islam]
PHP Crash Course,2025-01-21,https://learning.oreilly.com/library/view/-/9798341620049/,book,en,Web & Mobile,https://learning.oreilly.com/library/cover/9798341620049/,[No Starch Press],[Matt Smith]
The Infinite Retina - Second Edition,2025-01-20,https://learning.oreilly.com/library/view/-/9781836204831/,book,en,Business,https://learning.oreilly.com/library/cover/9781836204831/,[Packt Publishing],[Irena Cronin Robert Scoble]
"Learning PHP, MySQL & JavaScript, 7th Edition",2025-01-17,https://learning.oreilly.com/library/view/-/9781098152345/,book,en,Data,https://learning.oreilly.com/library/cover/9781098152345/,"[O'Reilly Media, Inc.]",[Robin Nixon]
